Date : 2024-04-13 17:08:36
Directory : c:\Users\aaron\Documents\GitHub\manus-unitas\src
Total : 57 files,  1454 codes, 29 comments, 276 blanks, all 1759 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         55 |      1,451 |         29 |        275 |      1,755 |
| CSS        |          2 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\dashboard.js                   | JavaScript |        854 |         53 |         60 |        967 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\notAccepted.js                 | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\page.js                        | JavaScript |        170 |         22 |         71 |        263 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\globals.css                              | CSS        |          6 |          0 |          2 |          8 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\layout.js                                | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\nonprofit-signup\Form.js                 | JavaScript |        135 |          0 |         19 |        154 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\nonprofit-signup\page.js                 | JavaScript |         83 |          9 |         26 |        118 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\OrganizationForm.js | JavaScript |         51 |          0 |          6 |         57 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\page.js             | JavaScript |         55 |          0 |         16 |         71 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\page.js                                  | JavaScript |        450 |         24 |         61 |        535 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signin\page.js                           | JavaScript |         92 |          2 |         19 |        113 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\adminSignUp.js              | JavaScript |         92 |          0 |         19 |        111 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\page.js                     | JavaScript |         30 |          2 |          9 |         41 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\page.js                           | JavaScript |         36 |          1 |         11 |         48 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\signup.js                         | JavaScript |        122 |          1 |         28 |        151 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\template.js                              | JavaScript |         33 |          0 |         12 |         45 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\verifySignIn.js                          | JavaScript |         11 |          0 |          3 |         14 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\volunteer-signup\page.js                 | JavaScript |         36 |          1 |         11 |         48 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\volunteer-signup\signup.js               | JavaScript |        122 |          1 |         28 |        151 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\events.js                          | JavaScript |         62 |          6 |         20 |         88 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\index.js                           | JavaScript |          7 |          0 |          4 |         11 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\organization.js                    | JavaScript |        135 |          7 |         42 |        184 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\users.js                           | JavaScript |        116 |          3 |         19 |        138 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\date.js                             | JavaScript |          8 |          0 |          0 |          8 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\phoneNumber.js                      | JavaScript |         16 |          0 |          2 |         18 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\time.js                             | JavaScript |          8 |          2 |          0 |         10 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\middleware.js                                | JavaScript |          7 |          1 |          1 |          9 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\utils\animations.js                          | JavaScript |         53 |          0 |          9 |         62 |
| f:\manus-unitas\src\app\api\auth\[...nextauth]\options.js                                     | JavaScript |        -30 |         -4 |         -2 |        -36 |
| f:\manus-unitas\src\app\api\auth\[...nextauth]\route.js                                       | JavaScript |         -4 |          0 |         -3 |         -7 |
| f:\manus-unitas\src\app\api\events\[id]\route.js                                              | JavaScript |        -10 |          0 |         -3 |        -13 |
| f:\manus-unitas\src\app\api\events\route.js                                                   | JavaScript |         -6 |          0 |         -2 |         -8 |
| f:\manus-unitas\src\app\api\roles\all\route.js                                                | JavaScript |         -8 |          0 |         -4 |        -12 |
| f:\manus-unitas\src\app\api\roles\route.js                                                    | JavaScript |        -15 |         -2 |         -7 |        -24 |
| f:\manus-unitas\src\app\api\users\[...id]\route.js                                            | JavaScript |         -8 |         -3 |         -2 |        -13 |
| f:\manus-unitas\src\app\dashboard\dashboard.js                                                | JavaScript |       -825 |        -35 |        -53 |       -913 |
| f:\manus-unitas\src\app\dashboard\notAccepted.js                                              | JavaScript |        -17 |          0 |         -4 |        -21 |
| f:\manus-unitas\src\app\dashboard\page.js                                                     | JavaScript |       -164 |        -21 |        -71 |       -256 |
| f:\manus-unitas\src\app\globals.css                                                           | CSS        |         -3 |          0 |         -1 |         -4 |
| f:\manus-unitas\src\app\layout.js                                                             | JavaScript |        -16 |          0 |         -6 |        -22 |
| f:\manus-unitas\src\app\nonprofit-signup\Form.js                                              | JavaScript |       -135 |          0 |        -19 |       -154 |
| f:\manus-unitas\src\app\nonprofit-signup\page.js                                              | JavaScript |        -83 |         -9 |        -26 |       -118 |
| f:\manus-unitas\src\app\page.js                                                               | JavaScript |        -13 |        -23 |        -10 |        -46 |
| f:\manus-unitas\src\app\signup\page.js                                                        | JavaScript |        -14 |          0 |         -4 |        -18 |
| f:\manus-unitas\src\app\signup\signup.js                                                      | JavaScript |        -25 |        -16 |        -10 |        -51 |
| f:\manus-unitas\src\app\volunteer-signup\page.js                                              | JavaScript |        -36 |         -1 |        -11 |        -48 |
| f:\manus-unitas\src\app\volunteer-signup\signup.js                                            | JavaScript |       -122 |         -1 |        -28 |       -151 |
| Total                                                                                         |            |      1,454 |         29 |        276 |      1,759 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
