"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\completion\completion.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\completion\page.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\components\Footer.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 6, 2, 29
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\components\TransitionLink.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\contact\page.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 7, 10, 67
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 56, 75, 14, 145
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\layout.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 6, 14, 65
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\mail.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\OrganizationForm.js", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 0, 16, 182
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\page.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\page.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 24, 60, 347
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\privacy-policy\page.js", "JavaScript", 0, 199, 0, 0, 0, 0, 0, 0, 2, 201
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\providers.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\set-password\page.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\set-password\passwordForm.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 13, 77
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signin\page.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 2, 20, 117
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\adminSignUp.js", "JavaScript", 0, 221, 0, 0, 0, 0, 0, 0, 22, 243
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\page.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 1, 9, 37
