"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"f:\manus-unitas\src\app\api\auth\[...nextauth]\options.js", "JavaScript", 30, 0, 4, 2, 36
"f:\manus-unitas\src\app\api\auth\[...nextauth]\route.js", "JavaScript", 4, 0, 0, 3, 7
"f:\manus-unitas\src\app\api\events\[id]\route.js", "JavaScript", 10, 0, 0, 3, 13
"f:\manus-unitas\src\app\api\events\route.js", "JavaScript", 6, 0, 0, 2, 8
"f:\manus-unitas\src\app\api\roles\all\route.js", "JavaScript", 8, 0, 0, 4, 12
"f:\manus-unitas\src\app\api\roles\route.js", "JavaScript", 15, 0, 2, 7, 24
"f:\manus-unitas\src\app\api\users\[...id]\route.js", "JavaScript", 8, 0, 3, 2, 13
"f:\manus-unitas\src\app\dashboard\dashboard.js", "JavaScript", 825, 0, 35, 53, 913
"f:\manus-unitas\src\app\dashboard\notAccepted.js", "JavaScript", 17, 0, 0, 4, 21
"f:\manus-unitas\src\app\dashboard\page.js", "JavaScript", 164, 0, 21, 71, 256
"f:\manus-unitas\src\app\globals.css", "CSS", 0, 3, 0, 1, 4
"f:\manus-unitas\src\app\layout.js", "JavaScript", 16, 0, 0, 6, 22
"f:\manus-unitas\src\app\nonprofit-signup\Form.js", "JavaScript", 135, 0, 0, 19, 154
"f:\manus-unitas\src\app\nonprofit-signup\page.js", "JavaScript", 83, 0, 9, 26, 118
"f:\manus-unitas\src\app\page.js", "JavaScript", 13, 0, 23, 10, 46
"f:\manus-unitas\src\app\signup\page.js", "JavaScript", 14, 0, 0, 4, 18
"f:\manus-unitas\src\app\signup\signup.js", "JavaScript", 25, 0, 16, 10, 51
"f:\manus-unitas\src\app\volunteer-signup\page.js", "JavaScript", 36, 0, 1, 11, 48
"f:\manus-unitas\src\app\volunteer-signup\signup.js", "JavaScript", 122, 0, 1, 28, 151
"Total", "-", 1531, 3, 115, 266, 1915
